[NEW_DOCUMENT: DOCid=1, lang=bzd, DOCNAME=Los Bribris y Cabécares de Sulá].	[NEW_DOCUMENT: DOCid=1, lang=spa, DOCNAME=Los Bribris y Cabécares de Sulá].
Se' swö' se a ì páké wés ská̈ yöne, wë́s ská̈wöte Ákmapa dLöyök, ìbkéìtsök Sìbö̀ rö' íyì uLíte yö' ká í kì erör skíme ë́' st sat chö ye míka. ~~~ E' káyene s yámìpa a ká wáñe, ás s se’' se’r wáñe budeme ská̈ e kákö Ltö ta.	Se trata de la explicación mítica del origen del universo y de los dioses hacia una explicación racional del respeto y valores de todo lo creado por Sibö en el mundo, con ello han resistido desde la conquista española y sus tradiciones han sido legadas a las familias y comunidades, habitantes armoniosos con su naturaleza y el cosmos.
4. Sikuapa rëbtu skí.	4. Lugares Sagrados.
	Los lugares sagrados “tienen una connotación espiritual importante para los habitantes bribris, representan esa interacción de Sibö con el ser humano, como la montaña sagrada llamada Suláyöm, los cerros, los ríos, el agua, los animales, las lagunas, charcas de agua caliente llamadas Duli, dejadas por Sibö para curarse cuando estaba en la Tierra; si alguien se baña allí no puede tocar carne o sal por 15 días.
Éta SuLá yö m erör swö táìn sé a. ~~~ Éröká shúsh a.	Por ello, es que muchos de estos lugares sagrados que rodean las comunidades, tienen esa gran dimensión que los convierte en sitios sagrados”.
We íyì uLítene tsöne, e e röSìbö sdìö ya’, e erö bLupa blew a e'meke é ta tsínet ú jcher, Sìbö wá e 're kátsö kámìe káköLtö a ë́ erö.	Así, la montaña Suláyöm es el sitio sagrado por excelencia, considerado como el centro de la tierra y el cielo.
	Desde el principio de los tiempos, fue escogido por los dioses para ser el centro dinámico y ceremonial de la creación, donde enterraban a sus reyes y donde, según su historia, en el fondo del abismo se encuentra la gigantesca olla de piedra, la cual, Sibö trajo de otros planetas.
SuLáyom pámìk Sìbö rör se’' kuábLe',etìkuö wöa rör ku ö̈́kì kuö kì, e' kuábLé böt böt, e' jkö ne SuLá parör, e erö se’'dtse’wö tsíkìne e syámì pa bár. ~~~ Éta Sìbö rámì swökì és ìe'.	En la montaña Suláyöm Sibö esparció la primera semilla humana de maíz, mazorca de todos los colores, la plantó en pares, cuidadas por Surá como guardiana de esas semillas, de allí, nacieron los clanes de los bribris, y de otras tribus hermanas.
Rör se’' tsìkì'. ~~~ Ká̈bta e' á̈tä, ká kìe Lárì Talámánca ejker.	Sibö aparece como aire o viento que dispersa las semillas o la gente.
Ë' yöka kábla ke parör, Parque Internacìonal La Amìstad.	Dicha montaña se encuentra ubicada en Alta Talamanca, en el Parque Internacional La Amistad.
E' yöne duás bámmì tse’wö 1982 ewa,éta Panamá e Costa Rica e' bLúpa rö ìméat jköne añìt a.	En 1982, los presidentes de Panamá y Costa Rica, acuerdan la creación de dicho parque, por lo que es compartido por ambos países y un año después lo declararon Patrimonio Natural de la Humanidad por la UNESCO.
Mík duás ék re ì k í é t ayö bì e' méat sì a wáñe jkön e, e' yöUNESCO rör. ~~~ És se’' brìbrì awápa, ìe' pa rör keképatáìn e, ì wöuLa rak sw ö ' pakök, Sìbö eákma pa t a jtök, due wák wöuñuk,stöjchök.	Del mismo modo, el awá para los bribris, “es el personaje más importante, cumple la función de guía espiritual al que Sibö dio conocimientos y valores para interpretar la historia, tradiciones, su espiritualidad, la sabiduría entre el mundo de Sibö y el mundo humano.
Íyì suLúsì úyökmì kamíe, ás s se’r buá.	Mantiene relaciones con los espíritus para tener al pueblo libre de enfermedades, plagas, inundaciones o peligros que los acechen”
Ë' che Natalìa Gobb rör, duás, 2013.	Entrevista a Natalia Gobb, 2013.
5. Kërwa Yönë. ~~~ Ke rwa bLate tcheL tak.	5. Creación del universo.
Kájke: erör Sìbö k á, ë́ dye , kakírma kíjke díwö. ~~~ Ískí: e rör se a, íyìwak a, káL kua a, íyìwakwák a, ákmapa a ë́ ape' uLítene a.	El universo bribri consta de cuatro grandes divisiones cosmológicas: • Arriba: El mundo de Sibö, del mar, el trueno y el Sol.
Ká dìöchet: Ë erö SuLa' se’rke. ~~~ Íyì buá e' enä ke buáe rase’, díwötsìkírke e' dtkíä e' rase’ se’ kí.	Abajo: La Tierra, el mundo de los hombres, animales, plantas, los dueños de los animales y los enemigos de la semilla (los no indígenas).
Kë́rwa bLate tchel ták, e' rör ú suLetáìne: Ë' yö' Sìbö rör, ì u dLöLö e e' pálk ö́ w äìe. ~~~ Kë́wë se’ ú yue , e rör suLe, wé s Sìbö ìcha yö ne és.	El mundo inferior: Conformada por el mundo de Sulá (espíritu bueno), y los espíritus malos que son invisibles, aparecen bajo la forma de un animal como la danta, serpientes: habitan las partes de menos acceso del bosque.
Éta SuLá ìcha átä ínskí. ~~~ U suLé rörkájke, ínskí. ~~~ Wes wepa aLáköL, wes ìdLö e neñe we.	Lugar debajo de donde nace el sol: de donde vienen las cosas buenas y malas que suceden en la tierra.
Ëtä Sìbö e SuLá ká é r ö rdíwö e' dLö árke ñíwe, éta Síwö e' dLöá̈rke neñewe. ~~~ Míka Dulúìtmì (Kál yö ne kewe) e rör Sìbö u che ke tsa e kuekì Sìbö rör ì pájche te e ,ë́rör dye' yö', e kuekì̈ íyök rör shìki shìkì é.	Estas cuatro grandes divisiones cosmológicas se interpretan como una gran casa cónica, dada por Sibö al cubrir y techar la gran casa universal, especie de templo cónico, representante del mundo ancestral.
	La construcción de una casa física, míticamente se está construyendo a imagen de la misma, hacia abajo, en los dominios de Sibö y Surá, complementando lo masculino con lo femenino, lo claro con lo oscuro, de arriba hacia abajo, en los dominios de Sibö y Surá, alternando el dios Sol que alumbra en el día para que la Luna alumbre de noche la gran casa cósmica, universal, cuando Dulu (el árbol de la creación), quería botarla, Sibö pidió ayuda superior y formó los océanos para protegerla, por ello el mar y la tierra son redondos.
6. Íyök Yönë.	6. La creación de la Tierra.
Se’ swö' pa bLa, ì pake, Írìrìa sene kápáköl ì wí Étä Sìbö rör keLa e í míta. ~~~ Iwíke La wa ì re tsíkí, Sìbö.	Para los sabios de la cultura bribri de Sulá, el mito de la creación narra la historia de Iriria, la niña tierra que vivía en una de las cuatro divisiones cosmológicas subterráneas con su abuela y su madre.
I uñucheke éä. masìa tsemì I sbá yö Lata bul ìkLök.	Antes de que subiera a la superficie, su abuela Namasia la lleva a una fiesta que da Sibö.
	Una vez allí, Namaitmi, al notar la presencia de su hija, trata de alzarla, pero ésta se le resbala de las manos y es aplastada por los asistentes, quienes danzaban en dicha celebración; bailaban el Sorbón, danza ritual, y no daban cuenta que iba desapareciendo hasta convertirse en tierra.
Míka buL chaka dreré e, ta Iriria, dLíkkìcha bútsa are ínskì ì yámìpa tsö' táìnee' KLö rKía ña sì, e' yö íyö ìe. ~~~ Ë ukö́kì KáLì yé , íyök tájche, KaLkua eíyìwak. ~~~ Kíske.	Luego del cielo surgen las aguas, el suelo fértil, plantas y animales, los clanes que descienden de la mazorca de maíz, esparcidos sus granos en pares por la montaña sagrada.
Se’ tskìna SuLayöm. ~~~ 7. Ójtë.	7. Narraciones sagradas.
Së’ jtëëna së’ swö' ë' wakta , ë' kënë ös dkíë t kuö rör dö ijkë.	Narración sagrada: “la Jala de la Piedra”.
Kekepa awá Justö Avelìno Torres amúblì wa e rör ìche ìe ', rör swö jte , e'ká̈wetä kanewë syámìpa wés ske kepa ìkene és. ~~~ I wák ì páke , wes ìe parör ákpë́kekä wë́ ìe serke e erö.	El awá, Justo Avelino Torres de Amubri, se considera un líder espiritual que une la comunidad con la tradición ancestral y milenaria de la “jala de la piedra”, celebrada desde hace varios años en Amubri, narrada por él mismo: “participa toda la comunidad, y llegan visitantes de otras regiones a participar de dicha vivencia.
Éta syámìpauLítene e' rase, kíjke ape' bar. ~~~ Smìchö eká̈bta ä ák yu Lö k e' kìe kewa kúwe. ~~~ Ë'jkueta és Sìbö ì cha rör, e' meat se’a asse’ kaneblö añíta Ë bLe j cher kábtä ä, e'yuLe ke.	Para iniciar el recorrido a la montaña se busca la piedra que recibe el nombre de kewa kuwe , la cual debe ser plana porque representa la máquina de trabajo que les heredó Sibö, para unir a la comunidad y el trabajo lo hacen entre todos.
Uká kóyök wa, ás ì wák skím eìkú̈k wa. ~~~ E' yueke kalkö tche tö wa e'muéke wö' wa.	Permanece oculta en la montaña, con hojas de caña blanca para invocar los espíritus hasta que la encuentren.
E' yueke kal kö tchetöwa e' muéke wö kör kicha wa e' tsékue ke a LáköL parör.	Es custodiada por cuatro troncos que están unidos con bejucos, que jalan las mujeres.
Édlewa sö i pákekeíe sö ì keneweke és e ta sö swö che keá̈s se’ jtö ke chówa se a. ~~~ Míka sö ákkue e ta ì pá kue ke, a Lá köLpa kìeke ìtso' kuö ìe.	En el recorrido se va explicando la importancia de valorar su cultura, tradiciones y preservar el idioma y una vez que encuentran la piedra, se hace unos rituales para purificarla.
Míka ìkeke ka é tä s á̈rke ì wöä, é tä stórke ìdkí a, ke swa ì ìes táìn e'tséne, é ta ì me naka sökakì míka srámìsyámìpa u jtö mìka e ta u wák pa sdchéyeke, ánuk. ~~~ Ke schìne ka ba kí. káLi ki. ~~~ Sshukö e ìdkía dö w é s së́rke é̈ erö, é ta ìméketer ínskì eta sö tsöke, eta sbákbuLárke.	Se llama a las mujeres para que tomen el bejuco extenso que guiará el trayecto; así da la orden para su levantamiento con gritos y las personas corren, a pesar del gran peso de la piedra, que va en hombros de los pobladores, al pasar por algunas casas los motivan con gritos de fortaleza, no importa si hace calor o llueve, todos siguen avanzando con la piedra hasta llegar al centro de la comunidad donde la colocan en el suelo con el ritmo de cantos al son de un tambor”.
E' páke Justo Avelino Torres rör, duás 2013.	Narrado por Justo Avelino Torres, 2013.
Dtsö̀ tskíne. ~~~ E' tsö́ ne míka kámi díwö tsikír ëta ká̱ ia tsët tsë́ ë, ë' kë́ s ká̱ ta̱ áknamapa tsö tsër taín ë, ërëta̱ kë̀ ië́ pa i kënëwe̱ta kë̀ ië́ pa i bkë́ it sëta.	Narración “El Misterio de la creación de los indígenas”: ~~~ Narración sagrada ancestral sobre la Creación.
Éta Sibö̀ ë̀ rör kuö̱́ ki̱ , ië ë́ köl ë̀ íyi uLítene ë' bkë́ it kënëwe, ëkueki̱ ibkë́ it sëirir yö̀ ká̱ i' menewe kë ká buáe. ~~~ Yö̀ dtsö̀ Löwekë, ëkue ki̱ i michöe dö̀ SuLa' káska, ë́ rö ikuö kë́ kölpa së́ rkë.	Según narra Juana Segundo Sánchez: “Quiero compartir esta narración ancestral de nuestra cosmovisión: ésto sucedió cuando en este planeta todo era oscuro, solo habían seres espirituales que no hacían nada y un ser que era el único que pensaba: Sibö, el gran pensador, Dios.
