[NEW_DOCUMENT: DOCid=4, lang=gym, DOCNAME=El Mundo Ngäbe: Entre Costa Rica y Panamá].	[NEW_DOCUMENT: DOCid=4, lang=spa, DOCNAME=El Mundo Ngäbe: Entre Costa Rica y Panamá].
Ye nitre jatani: Boca Torogri bti nomane kä ngwitäri biti tä, nugani mate mada Costa Rica mada, ne kirabe. kugwe frontera ye ñakä Panamagri btä Costarrikagri, nitre nomene diguega jome jögrä ja käite, ne utuate kugwe kira migadretäri, ñärärä frontera däteni: chuitregwe aune ni ngäbere käe kira miriga jene jene mentogwäre kwetre, Costa Rica nitre ngäbere käe ketä rigue jire ye Abrojo Montezuma, Conte Burica, Guaymí de Osa, Guaymí de Coto Brus btä Altos de San Antonio abugon uganinte kä 2001.	Desde el punto de vista histórico un aspecto importante es la creación de la frontera entre los dos países vino a dividir su territorio ancestral; en territorio costarricense se localizan cinco territorios: Abrojo Montezuma, Altos de San Antonio, Guaymí de Coto Brus, Conteburica y Guaymí de Osa; localizadas en los cantones de Coto Brus, Corredores y Osa.
Nitre ruarë tä ja dimigue kri kugwo ni ngaberegwe me deantäribtä, ja käite aune ja toitiga konti erato.	La importancia de rescatar ese legado cultural y mantener esa tradición es el esfuerzo de muchos líderes comunales, del sistema educativo, para que actualmente se pueda alcanzar ese propósito de su realidad.
	Por ello, la importancia de conocer ese mundo espiritual y mítico esa cosmogonía y cosmovisión basada en la fe de que todo fue creado en el universo por un Dios, quien les envió deidades buenas y malas; ha sido la importancia de los sueños, donde están los seres buenos y malos, el creer que solo el médico tradicional o Sukia tiene el poder de curar enfermedades físicas y espirituales para proteger la comunidad de los malos espíritus por lo que deben someterse a frecuentes baños de purificación y dietas.
Kugwe ne utuäte kri migadre gare jae ne ñan ñöbatä aune Ngöbögwe kugwe ne noimane jökrä nigrä, meden kisete köbö migatä utuäto kri jae, konti sukia migatä utuate ne ñan ñö btä aune tä ni kragäi migue btä tä ji ngwen ni kone.	Es el consejero que reúne a su gente en una toma de cacao para contar historias, cantar sobre la formación del mundo o sobre la finalización del mismo, efectuar sahumerios que ahuyentan a los malos espíritus, hablar acerca del futuro o realizar curaciones corresponde a lo que han definido sobre la cosmovisión y cosmogonía.
	Es la visión espiritual de ver y concebir el mundo, donde viven los seres humanos, que se interrelacionan con la naturaleza, según las creencias míticas y espirituales, para comprenderlo a su vez es esas relaciones que la sustentan; se basa en la existencia de un mundo natural, constituido por los animales, las montañas, las plantas, los árboles, los ríos, entre otros y un mundo sobrenatural, que es lo mítico.
Ye bti ni ugögrö kwa ñain.	Ambos mundos ocupan el mismo espacio físico.
Konti tä kugwe dirire nitrei, ñö konti kugwe namani bare kena dredre nuaindre abugon, nunandre ñö. ~~~ Kä kri tibien nebe ye ñöbe, kribe btä jodron nirebe niguen kograbare. ~~~ Kä kri ye tä keteitibe jogrä.	El agua por ejemplo es un ser vivo proveedor de vida, se le tiene respeto, por ello se debe cuidar las lagunas, el mar, los ríos, riachuelos, sigue leyes naturales según las condiciones del territorio que no pueden ser alteradas.
Ñödre ñö ye nire tä nimi migue nire jökrä, meden kisete mren kri ye ngübüadre, ñö nente, ñö ogwä kiaga jire jogra kä kri ñö niera tibien, ngöbögwe jodron nire miri, kätogwä, ñö btä jodron jökrä miri medenbtä jodron, jökrä nöga aune bti mada jodron kosentä btä ñöte kwata.	Se basa en la existencia de un mundo natural, constituido por los animales, las montañas, las plantas, los árboles, los ríos, entre otros y un mundo sobrenatural, que es lo mítico.
Nodre kwa nöga ye rürübointa.	Ambos mundos ocupan el mismo espacio físico.
	Tiene una economía de granos básicos y autoconsumo, complementada con caza y pesca.
Golfito, Cuidad Neily btä Panamá.	Se cultiva cacao en pequeña escala para la venta a Golfito, Ciudad Neily o Panamá.
Ja totigatä metare jökrä kongrabare monsotregwe.	La mayoría de la alfabetización no supera la escuela primaria.
Ni ngäbere ne nüna gare nie kä kri nebe tibien, 100% nun blite ngäbere jökrä, ja di migata kri kugwe nungwe nebtä, ne konti nunain kwin kä kri ti bien nigwe nebe.	La conciencia de su identidad indígena deberá considerarse un criterio fundamental para determinar fuertes lazos con sus territorios y sus recursos naturales.
En nuestra tierra donde vivimos todos juntos ya sean con el agua, árboles y todo los animales pequeños y grandes, aquí todos somos hermanos y si daña algunos o el agua nos afecta a todos”Nunanta kä krite nigwe keteitibe ye konti ni ja mrägareta jodron jokrä ben ye ñobe kribe, jodron nirebe jokra. ~~~ Dredre nuain batatre ya nuainta nibta erato.	Conservan un 100% su lengua, su cultura y creencias, aunque su entorno es otra realidad. ~~~ Están dispuestos a mantener y reproducir sus entornos y sistemas ancestrales, estar en equilibrio con el ambiente y vivir en armonía con la naturaleza.
[END OF CHAPTER].	[END OF CHAPTER].
[NEW CHAPTER: CAPÍTULO 1 , DOCid=4, lang=gym].	[NEW CHAPTER: CAPÍTULO 1 , DOCid=4, lang=spa].
E1.	N1.
Kugwe kira bta kugwe naganinga itre umbre nomene niere, ni Ngäbe ne jatä ni segri mütü kri jiebti. ~~~ Diganinga kä kri jökrä bti kwetre nutre mate jögrä Costa Rica. ~~~ Kirabe nitre toni diguega jome negwäre segwäre, negwane frontera nieta ye ñakäre, nuna nomene keteitibe ye Boca del Toro Chiriqui btä Veragua ye konti ni Ngäbe bäri tä käbre.	Historia y Antecedentesl mundo Ngäbe en Costa Rica, proviene del norte de Bocas del Toro en Panamá, que atravesaron la Cordillera y se desplazaron también hacia la parte sur de Costa Rica, porque en décadas pasadas, no habían fronteras en ambos países y se movilizaban dentro de su propio territorio; sin embargo en Panamá representan actualmente la población mayoritaria en los territorios de la provincia de Chiriquí, Veraguas y Bocas del Toro.
Moguerabe ni Ngäbe ne nomene jökrä Costarrikagri ne ñan ñöbtä aune Costa Rica kirabe nomone nemen kwitegä Veragua, täräe ne tä jökrä Archivo Nacional konti.	En el siglo XIX, por documentos encontrados en el Archivo Nacional de Costa Rica mencionan que abarcaron territorialmente hasta la provincia de Veraguas en Panamá, por lo que la población era ya costarricense en dichos períodos, no existía la frontera y los Ngäbe se movilizaban dentro de su propio territorio.
Nitre nomene diguega jome meguera Costarrikagri, ye bti batibe chuitre jatani tärä kärere ngäbetrei ye kä 1990 ye naire aune jatani ni nigue diga.	A partir del año 1976, se inicia un ordenamiento territorial por parte del gobierno, se establecen los territorios indígenas de Costa Rica en las localidades Abrojo Montezuma, Altos de San Antonio, btä Buglere.
Guaymí de Coto Brus, Conteburica y Guaymí de Osa; localizadas en los cantones de Coto Brus, Corredores y Osa.	Su lengua, conforma la subfamilia guaymíica de la familia ístmica de la estirpe chíchense.
Kä 1930 ni ngäbere ne nune medene, aune ñö, ye ñaka gare gobraen, ye mada kä 1976 btä 1977 gobran jatäni mada kä uguete kena ngäbetregrä, Ye sribebare kore jatäri kä 1977 Coto Brus uganinte, Conte Burica 1978 Abrojo ye uganinte kä 1940, Osa uganinte 1985 aune bitinkä Alto de San Antonio uganinte kä 2001Nitre ngäbere ye kugwe kratibe Ngäbere 2.	Hablan el 100% la lengua nativa. ~~~ 2. ~~~ CosmogoníaLas características específicas del mundo del universo mítico Ngäbe se basan, primero, en la creencia de que todo fue hecho en el universo por un Dios, quien les envió dioses buenos y malos; segundo en la importancia de los sueños.
Kä kri kointaNgöbö kä kri kointa ne datebare ni ngäbere negrä aune ni rue tärä erato, ni nigaga kä chogali, ngübüon ñeta btä kidegra,ye kä bätä abugon konti sukia tä rüre bentre Köbödre kome o kuin ye tä nugue gare dreke ni Ngäbe nei.	Fundamental para los Ngäbe, la interpretación de los sueños; el sueño es como un aviso de que le puede suceder algo en el transcurso del día, por eso el Ngäbe “Tiebbe jakogätiri” (soñé mal).
Köbödre kome yebtä ni ruäre tä nemen bren akwa ja migatä suguiabtä, aune ni tä kitetä kuin, ye tä köbö kite nibtä aune tä jubanüa kragate nitrei btä ja boindre eratoNi krware ñodre ni töi kome, ni brugwa kome ñan nigrare monso kiabtä kwetre ye ñagäre nie robone,kwe ye gwan gware dragwan tä nugue mate nibtä nitä nemen bren krübäte mada.	
Ni ne árabe kägwe ni krägai migareta.	Los ríos y quebradas son los caminos por donde entran y salen seres malignos llamados Ngütuäbu Ngutiobo).
3.	3.
Kä boine,kä demeNitre ngäbere nomene Grwa sribere, ye kä käibe te nomene kugwe noineKugwe ne noain nomene ni brare aibe krägue. ~~~ Monso brare jökrä deanomene grwäte.	Lugares SagradosLos mayores o ancianos en épocas antepasadas, celebraban el ritual de la Claria (educación para los jóvenes), buscaban los lugares más apartados como las montañas, donde preparaba un espacio especial, para llevar a cabo sus ritos.
Ye kä kädögatä Grwatubti btä Jatote Minti roatre nomene grwa sribere. ~~~ Kirabe kugwe ne noain nomene, ja to tigara.	Según lo narra Javier Montezuma Montezuma “Antiguamente cuando se celebraban obligatoriamente los Ngäbe, debían acudir con sus hijos varones.
Ye bti Ngäbe ñakä jatä ni sribere mada ne ñan ñöbtä , kidre nomane krübäte monsobtä te mada, chui motori jatäni, kugwe ne ñagäire.	Para este proceso de iniciación no importaba el lugar donde estuvieran o vivieran, se trasladaban de Costa Rica a Panamá, obligatoriamente tenían que llegar.
Metäre kugwe ne neaninante, kugwe utuate kri abugon ñakä sribe bareta mada.	Hoy día, en Panamá se encuentran algunos lugares donde se realizaban estos rituales llamados Grwä Tubti (Cerro Tuli Vieja) Nowacri jatote (Gran Poza sagrada de ato culantro).
	Estos rituales se celebraban antiguamente, después los Ngäbe, dejaron esta actividad por motivo que la legislación local, empezó a regular este tipo de prácticas, porque alegaban que había mucho maltrato a los jóvenes y los mismos Ngäbe, denunciaban dicha actividad; hoy día se ha perdido esta forma de educación y disciplina que había antes para los jóvenes.
Kä krübäre konti krün kri toni migani, krün nebtä kugwe kuin toni migani jökrä ni ngäbere merire brare krägue. ~~~ Ne migadre jerekäbe kötärä kwetre biti jonrigadre kwetre jagrä.	La montaña es un lugar sagrado, donde se realizaban los rituales de los médicos tradicionales, en la antigüedad, existió un lugar denominado Ñö Ogwä Kri Jatote Minti (Gran Poza Sagrada), sitio mítico, de aguas muy azules rodeadas de peligrosas lajas resbaladizas.
Ne konti Ngäbe brare aibe di nü krünbe jabtä konti jonigui kwe, konti nibi krün kitäga kri aune nibi ngwätere krübäte.	En sus profundidades rugían insistentemente los Bube y en la zona caía intensas lluvias.
	Lugar escalofriante y misterioso donde está situado el Gran Krun, un enorme y muy pesado palo de balsa pintado de muchos colores que contenía todas las sabidurías y fuerzas, para ser transmitidas, al grupo de hombres y mujeres que lograra levantarlo y llevárselo; fue así que al hombre Ngäbe logró levantarlo y lo llevó, por eso este hombre fue diestro en la casería aguantó cuatro noches de sueño y logró ser un gran jugador de balsa.
Segri Bocas del Toro kä nierara tibien kädegata Ñö Ogwäbti, konti ni ngäbere jatani ñieta.	En Bocas del Toro, existe un lugar conocido como “Lugar mítico ojo de agua” (Ñö Ogwäbti) donde se origina el pueblo Ngäbe.
Kä nague ne kondi nitre kira janani ja tötigue Konti nibitre ñague käre aune nibi jegui sribere erato Ngöbögue kä kri ne däteni köbö bägä te meden kisete köbö bägä ye utuate kri ngäbegrä, jodron jökrä köböi bian bägä.	Otro lugar mítico es Kä Nague, donde están los espíritus al otro lado del mar y a la tierra. ~~~ Entrevista Javier Montezuma Montezuma. ~~~ 2013.
4.	4.
	CosmovisiónEs la visión espiritual de ver y concebir el mundo, donde viven los seres humanos, que se interrelacionan con la naturaleza, según las creencias míticas y espirituales, para comprenderlo a su vez es esas relaciones que la sustentan; se basa en la existencia de un mundo natural, constituido por los animales, las montañas, las plantas, los árboles, los ríos, entre otros y un mundo sobrenatural, que es lo mítico.
Kä kri tibienNunanta ño, kä tuin jabare, nunanta ñö jodron kiagabe tuin ñö ja ogwate nie, ja migatä ñö tä te.	Ambos mundos ocupan el mismo espacio físico.
Kä ne te jodron. ~~~ Jokrä tä kä ngwitäri, jodron nire, ñö ye nire tä ni kä nibe jakontibe be jogra.	El agua por ejemplo es un ser vivo proveedor de vida, se le tiene respeto, por ello se debe cuidar las lagunas, el mar, los ríos, riachuelos, sigue leyes naturales según las condiciones del territorio que no pueden ser alteradas.
Ñödre ñö ye nire tä ni migue nire, tä ni di migue, meden kisete mren, ñö ogwä, ñö nente ye ngübuadre kuin, ñakä juandre ngwarbe ye ñakä debe Ngöbögra.	Para el pueblo Ngäbe el número cuatro es considerado sagrado, porque según la creencia Dios creó el universo en 4 días”.
5.	5.
Ni därere ño kenaMonso nomene därere aune, ngäbetre nomene mitra dögwä kwete, aune dö ñatä kärë erato, ni umbre kärä aune jata ñague käre ye aune mitra ñöi migani jenena krägue kugwe noain nomene bongrabe nitregwe meguera.	Percepción del nacimiento: Cuando nace un niño o niña desde épocas pasadas tradicionalmente es celebrado con una ceremonia llamada Mitra Kwete y que aún permanece esa tradición en la mayoría de familias Ngäbe.
Nitre ruäre tä sribereNgäbe merire nomene bongrabe nitregwe meguera.	Los partos anteriormente se llevaban a cabo en las casas de habitación.
Nitre ruäre tä sribere. ~~~ Ngäbe merire nomene ja ngübüare jökrä gwi ni umbre merire kärä, krägä sribere meri bren ye krägue ne noain nomene krörö meguera.	En los casos en que los hijos nacen en la comunidad, lo atienden en la casa con ayuda de una partera, generalmente mujeres ancianas reconocidas como tales en la comunidad y que conocen las plantas medicinales tradicionales utilizadas durante la gestación.
6.	6.
Ka kri kointa uaire Kirabe ni rün kri kä koin kä Ngöbö kägwe kä kri tibien ne däteni ni ngäbere ne krägue. ~~~ Aune suguia miri kwe ni die migara, ji ngwanga ni kone, aune tädre ni rue Chogali, ngübüon btä kidegrä ye kraire nibtä.	Universo Simbólico Desde tiempos ancestrales existe un ser sobrenatural llamado Ngöbö que es el creador de todo el universo de los Ngäbe, por tal razón envió a los Guías espirituales para que los guiara, protegiera a su pueblo; además de Ngöbö hay también seres espirituales que le hacen daño a los Ngäbe cuyos nombres son: Chogali, ngüpuon, ologwapa, kideerä que han luchado contra los Guías espirituales.
7.	7.
NgöbötreNgöbö o Chube kägwe ni garigä ñö kribti ne ñan nobtä aune, ni ki kugwe nuaine kome ogwäte btä .	DiosesNgöbö es el Dios creador del cielo y la tierra; según la creencia del pueblo Ngäbe El ngäbe fue quien con su enojo originó la Gran Inundación, donde el río Ñö Kri se desbordó y acabó con el mundo junto con sus pobladores.
Kugwe ne nigui tä aune nura kitita tibien kwe bobugaretä aune ni nuta nire mrä mada meden ni konime ja täri ne.	Pasado todo esto “Ngöbö”, el dios protector de los hombres, volvió nuevamente a sembrar la semilla para que volvieran a brotar los seres humanos.
Bube ye kugwe krübäre bti ja tö deanomene kira nitregwe, abugon meden tä nune ngubrün krigri toni.	Están otros dioses que se llaman los Bubes, son espíritus que rugen con insistencia desde las profundidades de la Gran Poza Sagrada.
8.	8.
Jodron nire demeJodron nire ruäre migatä utuate jae: Ñödre Mägatä mrente, ye jodron ñanchi tä nnüo mrente.	Animales sagradosAlgunos animales míticos sagrados; Magata Mrente, una serpiente gigante, que vive en el mar y traga todo lo que se le acerque.
	La serpiente es enemiga de los seres humanos.
Jodön ne ni nire rüe. tä nüne kä kri Nebtä tibien, ni ne ara köböite, ni ñakä Ngöbö migue era jai btä.	Vive en el mundo a raíz de la desobediencia del hombre que no cumplió con el mandato de Ngöbö.
Tä ñö ñain ere ñakä nemen trine, teri abugon ñö ne tä niguite döre, biti tä niguen niguite kä kiare, ngutuare btä kä nemenga mrente erere.	Bebe sin saciarse y en su estómago la chicha se convierte en llanuras, valles, cerros e islas.
Ye tä ni mäganinte kwete aune tä niguentä moto mren nguenantä jabe, medenbtä ñirien ñakä nente jadibti jategäre.	Cuando Magata se come a las personas, amarradas a cierto lugar, se evitan las inundaciones pues baja la marea.
Ni ngäbere tä nu ngübüare krübäte ne ñan ni ñöbtä aune, nu ne kuin jamugore, ju ngübüaga.	El perro, animal doméstico que se encuentra en casi todos los hogares Ngäbe, se considera sagrado porque es guardián de la familia.
Medenbtä utuate kri, ñakä kidredre btä, bugare kuin, ñakä metädre, ñö migadre ñadre ie. ~~~ Ni tä joroaine aune niara tä ni di mige nona tä kä naguebtä.	Se debe tratar bien, no maltratarlo, darle de comer y darle agua porque cuando la persona se muere es el que les ayuda a pasar el camino al otro mundo sin problemas.
9.	9.
Kugwe date btä kugwe jeñe. ~~~ Ni Ngäbe ye ñague käre, ye tä tre ñague jodron ketäkäbre btä.	Tipos de Cantos e Instrumentos musicalesLos Ngäbe, poseen cantos que corresponden a las diferentes actividades de su vida y muchos de ellos en relación con la mitología e historia de su pueblo.
Kugwe naganinga kirabe jodron ketä käbre btä.	Hay cantos exclusivamente para hombres y otros referidos exclusivamente a las mujeres.
Kugwe naganinga kirabe jodron ngwarbe ngwarbe se btä, ye jodron mrente btä jate bätä ja ketä niguen.	Las mujeres, por ejemplo, poseen un repertorio de cantos sincréticos, que usan en los rituales del ciclo vital: nacimiento, iniciación y muerte.
Nitre brare ñague btä nitre merire tä ñague käre erato.	Disponen igualmente de un repertorio de cuentos cantados basados en su mitología.
Monso nemen üno aune bomoin tigatä aune ngäbetre merire, tä tre ja ugögrö mögonbätä, ye tätre dö ñain käre, aune tätre niguen ja kete kugwe bätägä btä.	Además, acostumbran a dar consejos a los niños a través de los cantos. ~~~ (Velásquez y Brandt 1979).
10.	10.
Ñägä kare, DrüÑaga käre aune ja ketä, gwarabtä, krwabtä, mübtä ködäbtä, aune ye ketä käbre btä.	Cantos sagrados o Cantos espiritualesEntre los cantos Ngäbe hay algunos dedicados a los animales a la naturaleza tanto de mar como de tierra firme; Gwara es el pez mantarraya. ~~~ Gute (El tigre) y muchos otros.
Kugwe ne gare nitre umbre, i ye dö ñatä käre aune tä tre dirire monsotrei.	Estos cantos son cantados por los ancianos en los días que se celebra una chichería, donde se baila las danzas tradicionales porque son varios tipos de danza.
	Cuando una muchacha ya cumple el cuarto día de su menstruación por primera vez, también se le realiza una Chichería, donde las mujeres y las ancianas bailan y cantan sus canciones rituales.
Monso merire abugon ie “mögön ñietä” ye köbö bägä üno bti aune bomoin tigatä aune dö sribe käre erato.	También tienen instrumentos musicales que incluyen conchas de tortuga, el caracol, la maraca y cuernos de ganado.
Drü tärä ketä käbre ni ngäberegwe: Tolero, será nibi krotu, btä tän nebti ñagatä käre.	Dicen que si uno escucha las canciones del agua, toda la creación podrá seguir respirando.
Ñieta krörö ñägä ñöbtä ye kugwe noa aune ye kugwe kuin reguetäga jokrä nibtä , ne ñan ñobtä aune ñö nebti, ni btä jadron jökrä tä bure jague aune ni jökrä nire biti.	“Nuestra sabiduría, leyes y forma de vida nos enseñan a ser responsables todo el tiempo con el cuidado de este obsequio sagrado que conecta a todo lo viviente. ”
	Relatado por Javier Montezuma Montezuma.
Canción al agua onal Pueblo Ngäbe Ñägä ñöbtä ñö tä ti migue niretä kä ngire denga tibtä Riga tibe menteTi raba niguen ngwena jabe käreMä ñan raba robon, ma ñan riga menteNun tä ma ribereMonso chi tä tö ngwen, meyei krwereMägwe ti tuani darereMägwe ti tuani ja bren nigueMa tä ti migue nireMa ngübüadre kuin ti tä kärere NgöböeDesde el silencio Ngäbe.	2013. ~~~ Canción al agua en el pueblo Ngäbe:El agua que me da la vidaque cubre el calor del solllegarías tan lejos conmigosi tan sólo pudieras llevarte a donde fuera. ~~~ No te enojes, no te alejesnosotros te necesitamoscomo el niño pequeño necesita a la madre. ~~~ Usted que me vio nacerusted que me ve sufrirusted que me da vidaimploro a mi Dios que te cuide.
Los sentimientos florecen Choy Käribu 1997Nitre tobtä dite kenaAbia Yala monsoi Ja mague juticiabe Ni toi digagabtä jomeJa kwatä tä ja nirebtä Mun tä kä nague mun jatätä Mungwe ja di miri nun kriere Nun rue kone. ñö krwa robon erere.	Desde el Silencio Ngäbe Los Sentimientos Florecen (Choy Karibo 1997)Hombres valientes del ayer,hijos de Abia Yala,amigos de la justicia,amantes de la libertad,defensores de la vida,regresen del más allá.
Ni rue btä Mun krwa robon mun jatätä Mun nire robon krwa erere jaguetä.	Su furia derramaronsobre el invasor,como felino fueronante el agresor.
	Vuelvan fieras inocentes,regresen fieras humanas,retornen del más allá.
Mun tä kä nague, jagrwetä jograYe nun toi rugai tä nireKugwe nungwe rügardretä nireni ñakä krüte ye jatadreta 11.	Que resuciten las memorias,que revivan los conocimientos,que vuelvan los que no mueren. ~~~ 11.
Neata kare1. ° Baile tradicional conocido como Jegui.	Danzas Sagradas o espirituales1. ° Baile tradicional conocido como Jegui.
Jegui ne sribe jatäni kirabe nitregwe, ye ni Ngäbe Taino ñietä abugon nomene sribere kena ye nitre ne ganinga chuitregwe.	Es una danza milenaria aparentemente practicada también por los taínos de las islas del Caribe.
Noain nomene aune nuain tä dere aune kä ngwen dega.	Se extiende desde el anochecer hasta el amanecer del día siguiente.
Nitre brare, merire, monsore tätre niguen jökrä nen krotä.	Participan hombres y mujeres; lo realizan toda persona.
Kugwe jegui ye tärae migata keta käbre, jaketä noin jodron btä aune ererajato, usted me espera ahí, el cuñado se fue neata erato.	En dicha danza se practican varios pasos, de uno, dos o tres pasos: el maestro o el anciano no participa en la danza; sólo se dedica a cantar.
Ni umbre migatä kä te ñague käre ye, ni migatä kribiti ñietä. ~~~ Nitre tä kite dräre aune tätre nunenga chi, tätre niguen dö ñain mada nebti mada niguentre nen krötä ne kore aune kä ngwen bititre.	Cuando se sienten cansados de bailar se toman un tiempo para consumir la chicha y recuperar las fuerzas y el ánimo y luego continúan hasta el amanecer bailando.
2.	2.
Krün kitäNitre umbre tä niere krörö. ~~~ Krün kri toni migani ñö ogwä krubare te aune ni merire to nibi ja migai kä kri bogone, jananintre akwa ñakä di nu krün nebe jabtä.	Balsería Esta fiesta ritual está relacionada con el principio del mundo, cuando se establece un orden entre los animales, y donde los Ngäbe dominan todas las especies existentes.
Tebra Ngäbe brare janani mada, ye ngwateni köbö bägä täte aune nigui nemente krün nei aune, käriga drékebe ja ñate kwetre, aune jonigui kwetre madá, menden konti, ni nibi töbtä, montiga, krün, kite baliente aune nibi krübäte jodron jökra biti mada.	Pero se produce un conflicto al tratar de determinar quiénes si los hombres o las mujeres deberán detentar el poder absoluto, razón por la cual Ngöbö, mide la capacidad de los grupos con una prueba que consiste en que levanten el tronco en la Gran Poza, lo cual logran hacer únicamente los hombres.
3.	3.
Kweu kweuNietä nitre umbregwe kröröBatibe ni jatä ni ngwägäre, Ngäbei, Ngäbe ne monsotre merire käbré kwe.	Baile de las PavaEl origen del Baile de las Pavas, consiste “en que los animales se comunicaban con el Ngäbe.
