[NEW DOCUMENT 03/31/23 SP:06:05:a GN:10:47:a]	[NEW DOCUMENT 03/31/23 SP:06:05:a GN:10:47:a]
Paraguái Ñe'ēnguéra Sambyhyhára Ladislaa Alcaraz de Silvero oĩ kuri aty hérava "Las mujeres indígenas y nuevas tecnologías: acciones para el desarrollo de actividades económicas y sociales" plataforma digital-rupive.	La ministra de la Secretaría de Políticas Lingüísticas Ladislaa Alcaraz de Silvero participó de la reunión “Las mujeres indígenas y nuevas tecnologías: acciones para desarrollo de actividades económicas y sociales” por medio de una plataforma digital.
Upépe Sãmbyhyhára Ladislaa Alcaraz de Silvero he'i mba'éichaitépa Paraguái Ñe'ẽnguéra Sãmbyhyhápe ojepuru tembipurupyahukuéra oipytyvõvo ypykuéra ñe'ẽñeñongatu ha ñemombaretevévo.	En la misma, la titular de la SPL habló sobre la importancia de las nuevas tecnologías se utilizan en la Secretaría para la documentación y fortalecimiento de las lenguas indígenas.
	Esta reunión se realizó en conmemoración del día internacional de la mujer “67º período de sesiones de la Comisión de la Condición Jurídica y Social de la Mujer (CSW67)”.
[NEW DOCUMENT 03/07/23 SP:11:53:a GN:11:39:a]	[NEW DOCUMENT 03/07/23 SP:11:53:a GN:11:39:a]
Paraguái Ñe'ēnguéra Sãmbyhyha ijaty Organización de Estados Iberoamericanospegua Myakãhara pyahu ndive.	SPL se reune con nuevo director de la Organizacion de Estados Iberoamericanos.
Paraguái Ñe'ēnguéra Sãmbyhyhára Ladislaa Alcaraz de Silvero, Ypykuéra Ñe'ē Ñeñongatu ha Ñemyasãi Myakãharapavē Rossana Bogado de Orue, ha Ñe'ēnguéra Rapereka Moakãhapavē Pyruhára Arnaldo Casco, ijaty ko árape Moakãhára pyahu Organización de Estados Iberoamericanos(OEI) Germán García Da Rosa Moure, ndive,oī avei Sãmbyhyhára Victor Aquino, ha mba'apoharakuéra Organización de Estados Iberoamericanospegua.	La ministra de la Secretaría de Políticas Lingüísticas (SPL), Ladislaa Alcaraz de Silvero, la Directora General de Documentación y Promoción de Lenguas Indígenas, Rossana Bogado de Orué y el encargado de despacho de la Dirección General de Investigación Lingüística, Arnaldo Casco mantuvieron una reunión con el nuevo director de la Organización de Estados Iberoamericanos (OEI), Germán García Da Rosa Moure.
[NEW DOCUMENT 02/09/23 SP:10:15:a GN:10:18:a]	[NEW DOCUMENT 02/09/23 SP:10:15:a GN:10:18:a]
Paraguái Ñe'ēnguéra Sãmbyhyhára oī kuri Foro Nacional de Artesanía-pe.	Ministra participa de foro nacional de artesanía.
Paraguái Ñe'enguéra Sambyhyhára,Ladislaa Alcaráz de Silvero oī kuri Gran Foro Nacional de Artesania ojejapova'ekue Kotyvusu Instituto Banco Central del Paraguay-pe.	La ministra de la SPL, Ladislaa Alcaraz de Silvero participa del Gran Foro Nacional de Artesanía, en el salón del Instituto del Banco Central.
[NEW DOCUMENT 02/09/23 SP:08:32:a GN:08:52:a]	[NEW DOCUMENT 02/09/23 SP:08:32:a GN:08:52:a]
Paraguái Ñe’ēnguéra Sambyhyhára oĩ kuri aty oñembosako'ihápe CILPE 2023.	SPL participó en segunda reunión organizativa de CILPE 2023.
Paraguái Ñe’ēnguéra Sambyhyhára oĩ kuri aty oñembosako'ihápe Conferencia Internacional de las Lenguas Portuguesa y Española CILPE 2023,oikótava ñane retãme ko ary jasypo pahápe.	La ministra de la Secretaría de Políticas Lingüísticas participó de la reunión de la organización logística de la Conferencia Internacional de las Lenguas Portuguesa y Española CILPE a llevarse a cabo en la segunda quincena del mes de mayo.
[NEW DOCUMENT 02/02/23 SP:10:11:a GN:11:02:a]	[NEW DOCUMENT 02/02/23 SP:10:11:a GN:11:02:a]
Paraguái Ñe'ẽnguéra Sãmbyhyha oĩ kuri aty ypy CILPE 2023 ñembosako'ihápe..	Ministra de la SPL participó en reunión para organizar la CILPE 2023.
Paraguái Ñe´ẽnguéra Sãmbyhyhára Ladislaa Alcaráz de Silvero ha Moakãharapavẽ Ypykuéra Ñe’ẽ Ñeñongatu ha Ñemyasãi pegua Rossana Bogado de Orué, oĩ kuri Plataforma ZOOM rupive aty ypy oñembosako'ihápe Conferencia Internacional de las Lenguas Portuguesa y Española CILPE, oikótava ñane retãme jasypópe.	La ministra de la Secretaría de Políticas Lingüísticas, Ladislaa Alcaraz de Silvero y la directora general Documentación y Promoción de Lenguas Indígenas (DGDPLI) Rossana Bogado de Orué, participaron vía ZOOM de la primera reunión de organización para la Conferencia Internacional de las Lenguas Portuguesa y Española CILPE, que se realizará en nuestro país el próximo mayo.
[NEW DOCUMENT 01/18/23 SP:07:50:a GN:08:02:a]	[NEW DOCUMENT 01/18/23 SP:07:50:a GN:08:02:a]
Ojehechauka TEKOPYKATU ÑE'ẼHAI ministerio público-pe.	Presentan Código de Ética en Guaraní.
Paraguay Ñe’ẽnguéra Sãmbyhyhára Ladislaa Alcaraz de Silvero oĩkuri aty -ojehechaukahápe TEKOPYKATU ÑE'ẼHAI. Ko kuatia ojehai mokõive ñe’ẽme, guarani ha castellano-pe.	La ministra de la Secretaria de Políticas Lingüísticas participó del acto de presentación del Código de Ética en las versiones guaraní y castellano.
Ko aty omoakã Kuñakarai Sandra Quiñonez Astigarraga, Tetã Ñangarekoharapavẽ, oĩkuri avei Embajadora Tetã Paraguái rérape oĩva Unesco-pe, Nancy Ovelar de Gorostiaga.	Dicho acto fue presidido por la fiscal general del Estado Sandra Quiñónez Astigarraga y contó con la presencia de la embajadora de Paraguay ante la UNESCO, Nancy Ovelar de Gorostiaga.
[NEW DOCUMENT 01/10/23 SP:11:03:a GN:11:08:a]	[NEW DOCUMENT 01/10/23 SP:11:03:a GN:11:08:a]
Proyecto Cultural euskera pegua og̃uahẽ PÑS rógape.	Responsables de un Proyecto Cultural en euskera Visitan la SPL.
Ko araapy pyharevépe, Paraguái Ñe’ẽnguéra Sãmbyhyhára (PÑS), Ladislaa Alcaraz de Silvero, rendápe og̃uahẽ Maialen López ha Iñaki Goikoetxea, mokõivéva ou oikuaaukávo sãmbyhyhárape arandupy apopyrã omoakãva (Hemen Gaude Euskaldunon Urratsetan), ogueroguatáva hikuái Sudamérica-pe 7 jasy pukukuérupi.	En la mañana de hoy, la ministra de la Secretaría de Políticas Lingüísticas, Ladislaa Alcaraz de Silvero recibió en su despacho a Maialen López e Iñaki Goikoetxea, ambos miembros del proyecto cultural (HEMEN GAUDE EUSKALDUNON URRATSETAN) que lo llevan a cabo por Sudamérica por 7 meses aproximadamente.
[NEW DOCUMENT 12/27/22 SP:11:12:a GN:11:32:a]	[NEW DOCUMENT 12/27/22 SP:11:12:a GN:11:32:a]
Paraguái Ñe'ẽnguéra Sambyhyha ha Universidad Nacional de Pilar omboheraguapy ñoñe'ẽme'ẽ omba'apo joaju hag̃uã.	SPL y UNP firmaron convenio de cooperación.
Paraguái Ñe'ẽnguéra Sambyhyha ha Universidad Nacional de Pilar oĩ peteĩ ñe'ẽme ojoajúvo omboguata hag̃uã tembiapoita ha apopyrãnguéra guarani ñe'ẽ jeporu ayvu ha jehaípe oñemomba'eguasu ojehecha ha ojeporumeme hag̃uã tetã ñe'ẽteeháicha, upéichante avei ojehapereka hag̃uã ñe'ẽnguéra ojeikuaave potávo opaite mba'e ñe'ẽita ,tekojoparaeta,tekotee ha tetã pokatupavẽ rehegua.	La Secretaría de Políticas Lingüísticas (SPL) firmó convenio con la Universidad Nacional de Pilar (UNP), dicho convenio se realiza en el marco de ayuda interinstitucional entre ambas instituciones
[NEW DOCUMENT 12/20/22 SP:10:15:a GN:10:07:a]	[NEW DOCUMENT 12/20/22 SP:10:15:a GN:10:07:a]
Sãmbyhyhára oikuaauka PÑS rembiapokue 2022 arýpe guare.	Ministra de la SPL presentó informe de gestión 2022.
[NEW DOCUMENT 11/30/22 SP:02:11:p GN:01:42:p]	[NEW DOCUMENT 11/30/22 SP:02:11:p GN:01:42:p]
Paraguái Ñe'ẽnguéra Sambyhyha ombojopói 16 Ypykuéra ñe´ẽ rayhuhárape.	La Secretaría de Politicas Lingüísticas premió a 16 promotores de lenguas indigenas.
Paraguái Ñe'ẽnguéra Sambyhyha ombojopói Ypykuéra ñe´ẽ rayhuhárape. Upe jehechakuaa oiko kuri Salón de Actos Secretaría Nacional de Deportes-pegua.	La Secretaría de Politicas Lingüísticas premió a los promotores de lenguas indigenas en un evento realizado en el Salón de Actos de la Secretaría Nacional de Deportes.
[NEW DOCUMENT 10/11/22 SP:04:57:a GN:06:16:a]	[NEW DOCUMENT 10/11/22 SP:04:57:a GN:06:16:a]
PÑS sambyhyhára omog̃uahẽ iñe’ẽrysýi Congreso Departamental de Idioma Guarani-pe.	Ministra realizó disertación en congreso departamental.
Paraguái Ñe’ẽnguéra Sambyhyhára Ladislaa Alcaraz de Silvero, omog̃uahẽ iñe’ẽrysýi Primer Congreso Departamental de Idioma Guarani ojeheróva “Los desafíos de la Educación Paraguaya aplicados al Idioma Guaraní” oikova’ekue 8 jasypa 2022 táva Repatriación-pe.	La ministra de la Secretaría de Políticas Lingüísticas Ladislaa Alcaraz de Silvero fue una de las disertantes en el Primer Congreso Departamental de Idioma Guaraní denominado “Los desafíos de la Educación Paraguaya aplicados al Idioma Guaraní “.realizado el pasado sábado 8 de octubre de 2022.
Upe Amandajépe oĩ kuri Távao Motenondehára Dr.Carlos Godoy ha Concejal Municipalkuéra.	El evento se desarrolló en el Tinglado Municipal de la Ciudad de Repatriación y contó con la presencia del Intendente de dicha localidad Dr. Carlos Godoy y concejales municipales.
	La organización estuvo a cargo del Ateneo de Lengua y Cultura Guarani y la Consultora Tekokatu.
[NEW DOCUMENT 10/07/22 SP:05:03:a GN:05:11:a]	[NEW DOCUMENT 10/07/22 SP:05:03:a GN:05:11:a]
Coronel Martínez Tavao ha Paraguái Ñe’ẽnguéra Sambyhyha, oñoñe’ẽme’ẽ.	Municipalidad de Coronel Martinez y la SPL firmaron convenio de cooperación.
Paraguái Ñe’ẽnguéra Sambyhyha ha tavao Coronel Martínez oñemoĩ petei ñe’ẽme ojoajúvo omboguata hag̃ua oñondive apopyrãnguéra oipytyvõtava guarani ñe’ẽ oñemomba’eguasu, ojehecha ha ojepurumeme hag̃ua ayvu ha jehaípe, tetã ñe’ẽ teeramo,upéicha avei ojehapereka hag̃ua ñe’ẽnguéra táva Coronel Martínez-pe. Mokõive temimoĩmby heko añete ikatu hag̃uáicha oñopytyvõ ha omba’apo oñondive.	Con el objetivo de establecer relaciones para promover proyectos que apunten al fortalecimiento, la revalorización, la visualización y la normalización del uso oral y escrito de la lengua guaraní en el municipio de Coronel Martínez, la Secretaría de Políticas Lingüísticas (SPL) y la Municipalidad de Coronel Martinez firmaron este miércoles un convenio de cooperación interinstitucional.
[NEW DOCUMENT 09/29/22 SP:09:35:a GN:06:19:a]	[NEW DOCUMENT 09/29/22 SP:09:35:a GN:06:19:a]
MEC ha SPL omyasaī ypy Ñane retã purahéi guasu opavavévape ğuarã.	El MEC y la SPL lanzan la versión del Himno Nacional en formato accesible.
	Con el objetivo de que las personas con discapacidad auditiva mantengan un sentido de pertenencia e identidad hacia las costumbres y tradiciones de nuestro país, el Ministerio de Educación y Ciencias (MEC) realizará el lanzamiento oficial de la versión actualizada del Himno Nacional Paraguayo en formato accesible.
Aty oikókuri Primera Escuela de Sordos-pe.	
Oî upépe MEC myakãhára Nicolás Zárate ha ministra Secretaría de Políticas Lingüísticas (SPL)-pegua Ladislaa Alcaraz de Silvero.	
Oî avei ambue mburuvichakuéra ñane retãmegua ha omotenondéva tembiapo nohendúiva apytépe.	
[NEW DOCUMENT 09/27/22 SP:12:48:p GN:12:38:p]	[NEW DOCUMENT 09/27/22 SP:12:48:p GN:12:38:p]
Ojeguerohory Lengua de señas ñane retãmegua myasaīhárakuérape.	Entregaron reconocimiento a promotores de lengua de señas en Paraguay.
Ojegueromandu'a hağua Lengua de señas arapokõindy ha ojehechakuaa hağua imyasãiharakuérape oiko kuri "Jeguerohory Lengua de señas ñane retãmegua myasaīharakuérape".2022 jey rehegua.	Con el fin de conmemorar la semana de las lenguas de señas, y revalorizar el gran aporte de referentes en favor de la misma se realizó el “Acto de conmemoración y entrega de reconocimiento a promotores de la lengua de señas en Paraguay, edición 2022”
[NEW DOCUMENT 09/23/22 SP:09:44:a GN:09:47:a]	[NEW DOCUMENT 09/23/22 SP:09:44:a GN:09:47:a]
Tapicha ohendu’ỹva arapokõindy ojehecha porã tetãpýpe.	Declaran de interés nacional semana de personas sordas.
Cámara de Senadores, ijaty kuehe guarépe, omoneĩ de interés nacional-ramo Semana Internacional de las Personas Sordas 2022, ojepysóva 19 jasyporundy guive 25 peve, ojoajúvo avei Iñe’ẽngúva Ñe’ẽita Yvy Ape Arigua Ára, oñemomorãva ko arapoteĩme, 23 jasyporundýpe.	La Cámara de Senadores, en su sesión de ayer jueves, declaró de interés nacional la Semana Internacional de las Personas Sordas 2022, que comprende del 19 al 25 de setiembre, en coincidencia con el Día Internacional de las Lenguas de Señas, celebrado hoy viernes 23 de setiembre.
[NEW DOCUMENT 09/19/22 SP:11:34:a GN:11:38:a]	[NEW DOCUMENT 09/19/22 SP:11:34:a GN:11:38:a]
INC mba’apoharakuéra omohu’ã mbo’esyry guaraníme.	Funcionarios de la INC culminaron curso de guaraní.
Heta Industria Nacional del Cemento (INC) mba’apohára omohu’ãva’ekue Curso de Guaraní Comunicativo para Servidores Públicos péina ko arakõime ohupyty kuatia’atã, aty omoirũva’ekuépe Paraguái Ñe’ẽnguéra Sãmbyhyhára (PÑS), Ladislaa Alcaraz de Silvero, ha INC moakãhára, Ernesto Julián Benítez Petters.	Funcionarios de la Industria Nacional del Cemento (INC) que culminaron el Curso de Guaraní Comunicativo para Servidores Públicos recibieron este lunes sus correspondientes certificados, en una ceremonia que contó con la presencia de la ministra de la Secretaría de Políticas Lingüísticas (SPL), Ladislaa Alcaraz de Silvero, y el presidente de la INC, Ernesto Julián Benítez Petters.
[NEW DOCUMENT 09/19/22 SP:10:19:a GN:10:21:a]	[NEW DOCUMENT 09/19/22 SP:10:19:a GN:10:21:a]
PÑS ha INC omboheraguapy ñoñe’ẽme’ẽ.	SPL e INC firmaron convenio de cooperación.
Ko arakõime, Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS) ha Industria Nacional del Cemento (INC) omboheraguapy ñoñe’ẽme’ẽ omba’apo joajuve hag̃ua heta apopyrãme omombaretévo guarani ñe’ẽ -ayvu ha ijehaípe- ñe’ẽ teeháicha, ha avei ypykuéra ñe’ẽita ñeñongatu ha ñemoasãime.	Este lunes se concretó la firma de convenio marco de cooperación entre la Secretaría de Políticas Lingüísticas (SPL) y la Industria Nacional del Cemento (INC) a fin de seguir trabajando de manera conjunta en proyectos relacionados con el fortalecimiento del uso oficial -oral y escrito- de la lengua guaraní, así como la documentación y promoción de las lenguas indígenas.
[NEW DOCUMENT 09/19/22 SP:07:16:a GN:07:23:a]	[NEW DOCUMENT 09/19/22 SP:07:16:a GN:07:23:a]
Oñemono’õ marandu Mbya ñe’ẽ reko rehegua.	Recaban datos sociolingüísticos del pueblo Mbya.
Ypykuéra Ñe’ẽ Ñeñongatu ha Ñemoasãi Moakãhapavẽ mba’apoharakuéra, Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS) pegua, oje’óikuri tekoha Naranjito Santa Lucía-pe, Mbya atýpe, ha omono’õ hikuái marandu mba’eichaitépa oĩ ko ypykuéra aty ñe’ẽ reko, ikatu hag̃uáicha ojegueroguata hendivekuéra apopyrã ou porãtava chupekuéra.	Técnicos de la Dirección General de Documentación y Promoción de Lenguas Indígenas de la Secretaría de Políticas Lingüísticas (SPL) se trasladaron hasta la comunidad Naranjito Santa Lucía, del pueblo Mbya, con el fin de recabar datos sobre la situación sociolingüística de dicha comunidad indígena para así implementar proyectos que sean beneficiosos a los indígenas del mencionado lugar.
[NEW DOCUMENT 09/13/22 SP:11:47:a GN:11:49:a]	[NEW DOCUMENT 09/13/22 SP:11:47:a GN:11:49:a]
PÑS ha Kuñanguéra Ykeko Motenondeha omba’apo joajúta.	SPL y Ministerio de la Mujer firman convenio de cooperación.
Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS) ha Kuñanguéra Ykeko Motenondeha omboheraguapy ñoñe’ẽme’ẽ ko araapýpe ha he’i ojupe péicha ogueroguataseha apopyrãnguéra omoañetekuaáva mokõive tetã remimoĩmby rembiaporã tee.	La Secretaría de Políticas Lingüísticas (SPL) y el Ministerio de la Mujer (MinMujer) firmaron este martes un convenio de cooperación interinstitucional para promover programas y proyectos que apunten a la concreción de acciones consideradas de interés para ambas carteras de Estado.
Ko kuatia omboheraguapy PÑS ha Kuña Ykeko Motenondehára, Ladislaa Alcaraz de Silvero ha Celina Lezcano.	La firma del acuerdo fue presidida por la ministra de la SPL y del MinMujer, Ladislaa Alcaraz de Silvero y Celina Lezcano, respectivamente.
[NEW DOCUMENT 09/13/22 SP:10:52:a GN:10:56:a]	[NEW DOCUMENT 09/13/22 SP:10:52:a GN:10:56:a]
Ojehaperekase guarani jepuru oñeñangarekokuévo mitã rehe tasyópe.	Buscan investigar uso e impacto del guaraní en urgencias pediátricas.
Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS) ha mbo’ehaovusu Facultad de Ciencias Médicas, Universidad Nacional de Asunción pegua (FCM-UNA), oñombyaty ko araapýpe ha oñomongeta hikuái ikatuha ohapereka mitã ha ipehẽnguekuéra ojáva urgencia pediátrica-pepa mba’éicha oñeñandu iñe’ẽ oipurúva reheve, taha’e guarani, térã ambueve oñemomichĩva, taha’e ypykuéra ñe’ẽ, iñe’ẽngúva ñe’ẽ, térã ambueve.	Autoridades de la Secretaría de Políticas Lingüísticas (SPL) y de la Facultad de Ciencias Médicas de la Universidad Nacional de Asunción (FCM-UNA) se reunieron este martes para conversar sobre la posibilidad de realizar una investigación sobre los pacientes y familiares de la urgencia pediátrica en relación con el uso de la lengua guaraní y de otras lenguas minorizadas y minoritarias del país, ya sean lenguas indígenas, de señas, etc.
[NEW DOCUMENT 09/13/22 SP:06:16:a GN:06:20:a]	[NEW DOCUMENT 09/13/22 SP:06:16:a GN:06:20:a]
Oñemopyendase Guarani Mbo’epyrã heta tetã mbo’ehaovusúpe.	Buscan posicionar Cátedra Guaraní en universidades de la región.
Ko arakõime, tembipurupyahu rupive, oñombyaty Consejo Académico, Cátedra Guaraní, Asociación de Universidades Grupo Montevideo (AUGM) peguakuéra.	Este lunes se concretó, de manera virtual, una reunión de trabajo de los miembros del Consejo Académico de la Cátedra Guaraní de la Asociación de Universidades Grupo Montevideo (AUGM).
Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS) rérape, temimoĩmby oĩva avei ko atýpe, omoirũ ko jojuhu Ñe’ẽ Rape’apo moakãharapavẽ, Celia Beatriz Godoy.	La Secretaría de Políticas Lingüísticas (SPL), miembro del consejo, estuvo representada por la directora general de Planificación Lingüística, Celia Beatriz Godoy.
[NEW DOCUMENT 09/08/22 SP:11:39:a GN:11:46:a]	[NEW DOCUMENT 09/08/22 SP:11:39:a GN:11:46:a]
Umi ypykuéra ñe’ẽ ha arandupy ombojegua DILI ñemoñepyrũ Chaco-pe.	Presencia de lenguas y culturas indígenas en lanzamiento del DILI en el Chaco.
Ypykuéra Ñe’ẽita Pa Ary Yvy Ape Ári (Decenio Internacional de las Lenguas Indígenas, DILI 2022-2032) oñemoñepyrũ avei ko arapópe Región Occidental-pe ha omoirũ kyre’ỹ umi ypykuéra heta aty pegua, oñeñandukáva iñe’ẽ ryapu rupive, hembijerovia ha iñembo’e purahéi, hembiapo jegua ha ijao teekuéra rupive, ha ambueve, ha he’i ojeroviaha ko Naciones Unidas ñehenói guasu rehe, ikatu hag̃uáicha oñemoingove ha oñemombaretejey opa umi ypykuéra ñe’ẽ.	El Decenio Internacional de las Lenguas Indígenas (DILI, 2022-2032) tuvo hoy jueves su lanzamiento oficial en la Región Occidental y contó con la presencia activa de los indígenas de diferentes pueblos, quienes manifestaron, a través de sus lenguas propias, ceremonias religiosas, cantos sagrados, artesanías, vestimentas, etc., sus ganas y esperanzas depositadas en este llamado de las Naciones Unidas para conservar y revitalizar las diferentes lenguas indígenas existentes.
[NEW DOCUMENT 09/06/22 SP:09:24:a GN:09:29:a]	[NEW DOCUMENT 09/06/22 SP:09:24:a GN:09:29:a]
PÑS oykeko Plan Nacional de Pueblos Indígenas ñemoañete.	S PL acompaña implementación del Plan Nacional de Pueblos Indígenas.
Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS) oĩ avei Aty Ppy. 2 – Área Estratégica 1 “Fortalecimiento de las formas de ser indígena y de sus cosmovisiones” ryepýpe, oĩva Plan Nacional de Pueblos Indígenas 2020-2030 (PNPI) ryepýpe.	La Secretaría de Políticas Lingüísticas (SPL) forma parte del Grupo N° 2 - Área Estratégica 1 “Fortalecimiento de las formas de ser indígena y de sus cosmovisiones” del Plan Nacional de Pueblos Indígenas 2020-2030 (PNPI).
Upéva kuápe, oñeñeha’ãvo oñemoañete ko apopyrã guasu, ko atypeguakuéra omba’apókuri ko araapy pyharevépe.	En ese sentido, dentro del proceso de implementación del referido plan, autoridades que integran el mencionado grupo mantuvieron este martes una reunión de trabajo.
[NEW DOCUMENT 09/05/22 SP:09:12:a GN:09:17:a]	[NEW DOCUMENT 09/05/22 SP:09:12:a GN:09:17:a]
Italia embajador og̃uahẽ PÑS rógape.	Embajador de Italia visitó la SPL.
Italia embajador Paraguái retãme, Paolo Camanini, og̃uahẽ ko arakõime Paraguái Ñe’ẽnguéra Sãmbybyhára (PÑS), Ladislaa Alcaraz de Silvero, rendápe, omog̃uahẽ chupe imba’apoha kotýpe, PÑS rógape.	El embajador de Italia ante la República del Paraguay, Paolo Campanini, realizó este lunes una visita de cortesía a la ministra de la Secretaría de Políticas Lingüísticas (SPL), Ladislaa Alcaraz de Silvero, quien lo recibió en su despacho, en las instalaciones de la entidad lingüística.
[NEW DOCUMENT 09/05/22 SP:07:17:a GN:07:26:a]	[NEW DOCUMENT 09/05/22 SP:07:17:a GN:07:26:a]
Oguata ohóvo hese guarani ñehekombo’e AUGM ryepýpe.	Prosiguen los trabajos de la Cátedra Guaraní de la AUGM.
Ko arakõime, tembipurupyahu rupive, oñombyaty mbohapyha Consejo Académico, Cátedra Guaraní, Asociación de Universidades Grupo Montevideo (AUGM) pegua.	Este lunes se concretó, de manera virtual, la tercera reunión del Consejo Académico de la Cátedra Guaraní de la Asociación de Universidades Grupo Montevideo (AUGM).
Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS) rérape, temimoĩmby oĩva avei ko atýpe, omoirũ ko jojuhu Ñe’ẽ Rape’apo moakãharapavẽ, Celia Beatriz Godoy.	La Secretaría de Políticas Lingüísticas (SPL), miembro del consejo, estuvo representada por la directora general de Planificación Lingüística, Celia Beatriz Godoy.
[NEW DOCUMENT 09/05/22 SP:06:13:a GN:06:11:a]	[NEW DOCUMENT 09/05/22 SP:06:13:a GN:06:11:a]
Ypykuéra Ñe’ẽita Pa Ary oñemoñepyrũta Chaco-pe.	Decenio de Lenguas Indígenas será presentado en el Chaco.
Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS) ombosako’i aty guasu ojekuaauka ñepyrũtahápe Ypykuéra Ñe’ẽita Pa Ary Yvy Ape Ári (Decenio Internacional de las Lenguas Indígenas, DILI 2022-2032), Región Occidental-pe, oikótava ko arapópe, 8 jasyporundýpe, 10:00 aravo guive, Centro de Interpretación Gran Chaco Americano, en el distrito de Filadelfia, departamento de Boquerón (Chaco paraguayo).	La Secretaría de Políticas Lingüísticas (SPL) organiza el evento de lanzamiento del Decenio Internacional de las Lenguas Indígenas (DILI, 2022-2032), Región Occidental, previsto para este jueves 8 de setiembre, a partir de las 10:00, en el Centro de Interpretación Gran Chaco Americano, en el distrito de Filadelfia, departamento de Boquerón (Chaco paraguayo).
[NEW DOCUMENT 09/05/22 SP:05:14:a GN:05:22:a]	[NEW DOCUMENT 09/05/22 SP:05:14:a GN:05:22:a]
Japón-gui og̃uahẽ PÑS rógape kuaapy raperekahára.	Investigadora de Japón visitó la SPL.
