[NEW DOCUMENT 03/31/23 SP:06:05:a GN:10:47:a]	[NEW DOCUMENT 03/31/23 SP:06:05:a GN:10:47:a]
Cádiz se convierte en la sede del IX Congreso Internacional de la Lengua Española (CILE), un evento que reúne a destacados expertos en lengua y cultura hispana de todo el mundo.	Paraguái Ñe'ẽnguéra Sãmbyhyhára Ladislaa Alcaraz de Silvero oĩ ñane retã rérape IX Congreso Internacional de Lengua Española(CILE)-pe,Amandaje ombyatýva España ñe'ẽ ha arandupy kuaahára arapy tuichakuégui.Ko Amandaje ojejapóva 27 jasyapy guive 30 jasyapy peve oguereko hupytyrãrõ ñemongetajere Español ñe'ẽ ko'ag̃agua ha tenonderã rehe.
El congreso, que se celebra del 28 al 30 de marzo, tiene como objetivo principal debatir sobre el presente y el futuro del idioma español.	PÑS Sãmbyhyhára oĩ Amandaje guasúpe Cádiz, España-pe.
Ministra de la SPL participa en en el IX Congreso Internacional de la Lengua Española (CILE).	Paraguái Ñe'ẽnguéra Sãmbyhyhára Ladislaa Alcaraz de Silvero oĩ ñane retã rérape IX Congreso Internacional de Lengua Española(CILE)-pe,Amandaje ombyatýva España ñe'ẽ ha arandupy kuaahára arapy tuichakuégui.Ko Amandaje ojejapóva 27 jasyapy guive 30 jasyapy peve oguereko hupytyrãrõ ñemongetajere Español ñe'ẽ ko'ag̃agua ha tenonderã rehe.
Cádiz se convierte en la sede del IX Congreso Internacional de la Lengua Española (CILE), un evento que reúne a destacados expertos en lengua y cultura hispana de todo el mundo.	
El congreso, que se celebra del 28 al 30 de marzo, tiene como objetivo principal debatir sobre el presente y el futuro del idioma español.	
[NEW DOCUMENT 03/20/23 SP:09:37:a GN:09:45:a]	[NEW DOCUMENT 03/20/23 SP:09:37:a GN:09:45:a]
Presentaron Banco Terminológico bilingüe de la Agencia Espacial del Paraguay.	Ojekuaauka Guarani Ñe'ẽndy Agencia Espacial Paraguáigua..
El pasado viernes la ministra de la Secretaría de Políticas, Ladislaa Alcaraz de Silvero en compañía de la técnica de Planificación Lingüística, Rossana Arias en la presentación del "Banco Terminológico bilingüe de la Agencia Espacial del Paraguay", como parte de los Módulos del Posgrado de curso de capacitación en "Estudios Espaciales".	Ko arapoteĩ ohasava'ekue Paraguái Ñe'ẽnguéra Sãmbyhyhára Ladislaa Alcaraz de Silvero ha Rossana Arias, Ñe'ẽnguéra Rape'apo Moakãhapavẽmegua oĩkuri ojekuaaukahápe "Banco Terminológico Bilingüe de la Agencia Espacial del Paraguay" Módulo Post grado del Curso de Capacitación "Estudios Espaciales" rehegua.
Presentaron Banco Terminológico bilingüe de la Agencia Espacial del Paraguay.	Ojekuaauka Guarani Ñe'ẽndy Agencia Espacial Paraguáigua..
El pasado viernes la ministra de la Secretaría de Políticas, Ladislaa Alcaraz de Silvero en compañía de la técnica de Planificación Lingüística, Rossana Arias en la presentación del "Banco Terminológico bilingüe de la Agencia Espacial del Paraguay", como parte de los Módulos del Posgrado de curso de capacitación en "Estudios Espaciales".	Ko arapoteĩ ohasava'ekue Paraguái Ñe'ẽnguéra Sãmbyhyhára Ladislaa Alcaraz de Silvero ha Rossana Arias, Ñe'ẽnguéra Rape'apo Moakãhapavẽmegua oĩkuri ojekuaaukahápe "Banco Terminológico Bilingüe de la Agencia Espacial del Paraguay" Módulo Post grado del Curso de Capacitación "Estudios Espaciales" rehegua.
[NEW DOCUMENT 03/10/23 SP:10:44:a GN:10:52:a]	[NEW DOCUMENT 03/10/23 SP:10:44:a GN:10:52:a]
La ministra participó en la reunion de la FILAC via ZOOM.	Paraguái Ñe'ēnguéra Sambyhyhára, Ladislaa Alcaraz de Silvero oĩ kuri aty FILAC peguápe, oikova'ekue ZOOM rupive..
La ministra de la Secretaría de Políticas Lingüísticas Ladislaa Alcaraz de Silvero participó de la reunión “Las mujeres indígenas y nuevas tecnologías: acciones para desarrollo de actividades económicas y sociales” por medio de una plataforma digital.	Paraguái Ñe'ēnguéra Sambyhyhára Ladislaa Alcaraz de Silvero oĩ kuri aty hérava"Las mujeres indígenas y nuevas tecnologías: acciones para el desarrollo de actividades económicas y sociales"plataforma digital-rupive.Upépe Sãmbyhyhára Ladislaa Alcaraz de Silvero he'i mba'éichaitépa Paraguái Ñe'ẽnguéra Sãmbyhyhápe ojepuru tembipurupyahukuéra oipytyvõvo ypykuéra ñe'ẽñeñongatu ha ñemombaretevévo.
En la misma, la titular de la SPL habló sobre la importancia de las nuevas tecnologías se utilizan en la Secretaría para la documentación y fortalecimiento de las lenguas indígenas.	Paraguái Ñe'ēnguéra Sambyhyhára, Ladislaa Alcaraz de Silvero oĩ kuri aty FILAC peguápe, oikova'ekue ZOOM rupive..
Esta reunión se realizó en conmemoración del día internacional de la mujer “67º período de sesiones de la Comisión de la Condición Jurídica y Social de la Mujer (CSW67)”.	Paraguái Ñe'ēnguéra Sambyhyhára Ladislaa Alcaraz de Silvero oĩ kuri aty hérava"Las mujeres indígenas y nuevas tecnologías: acciones para el desarrollo de actividades económicas y sociales"plataforma digital-rupive.Upépe Sãmbyhyhára Ladislaa Alcaraz de Silvero he'i mba'éichaitépa Paraguái Ñe'ẽnguéra Sãmbyhyhápe ojepuru tembipurupyahukuéra oipytyvõvo ypykuéra ñe'ẽñeñongatu ha ñemombaretevévo.
La ministra participó en la reunion de la FILAC via ZOOM.	
La ministra de la Secretaría de Políticas Lingüísticas Ladislaa Alcaraz de Silvero participó de la reunión “Las mujeres indígenas y nuevas tecnologías: acciones para desarrollo de actividades económicas y sociales” por medio de una plataforma digital.	
En la misma, la titular de la SPL habló sobre la importancia de las nuevas tecnologías se utilizan en la Secretaría para la documentación y fortalecimiento de las lenguas indígenas.	
Esta reunión se realizó en conmemoración del día internacional de la mujer “67º período de sesiones de la Comisión de la Condición Jurídica y Social de la Mujer (CSW67)”.	
[NEW DOCUMENT 03/07/23 SP:11:53:a GN:11:39:a]	[NEW DOCUMENT 03/07/23 SP:11:53:a GN:11:39:a]
SPL se reune con nuevo director de la Organizacion de Estados Iberoamericanos.	Paraguái Ñe'ēnguéra Sãmbyhyha ijaty Organización de Estados Iberoamericanospegua Myakãhara pyahu ndive.
La ministra de la Secretaría de Políticas Lingüísticas (SPL), Ladislaa Alcaraz de Silvero, la Directora General de Documentación y Promoción de Lenguas Indígenas, Rossana Bogado de Orué y el encargado de despacho de la Dirección General de Investigación Lingüística, Arnaldo Casco mantuvieron una reunión con el nuevo director de la Organización de Estados Iberoamericanos (OEI), Germán García Da Rosa Moure.	Paraguái Ñe'ēnguéra Sãmbyhyhára Ladislaa Alcaraz de Silvero, Ypykuéra Ñe'ē Ñeñongatu ha Ñemyasãi Myakãharapavē Rossana Bogado de Orue, ha Ñe'ēnguéra Rapereka Moakãhapavē Pyruhára Arnaldo Casco, ijaty ko árape Moakãhára pyahu Organización de Estados Iberoamericanos(OEI) Germán García Da Rosa Moure, ndive,oī avei Sãmbyhyhára Victor Aquino, ha mba'apoharakuéra Organización de Estados Iberoamericanospegua.
SPL se reune con nuevo director de la Organizacion de Estados Iberoamericanos.	Paraguái Ñe'ēnguéra Sãmbyhyha ijaty Organización de Estados Iberoamericanospegua Myakãhara pyahu ndive.
La ministra de la Secretaría de Políticas Lingüísticas (SPL), Ladislaa Alcaraz de Silvero, la Directora General de Documentación y Promoción de Lenguas Indígenas, Rossana Bogado de Orué y el encargado de despacho de la Dirección General de Investigación Lingüística, Arnaldo Casco mantuvieron una reunión con el nuevo director de la Organización de Estados Iberoamericanos (OEI), Germán García Da Rosa Moure.	Paraguái Ñe'ēnguéra Sãmbyhyhára Ladislaa Alcaraz de Silvero, Ypykuéra Ñe'ē Ñeñongatu ha Ñemyasãi Myakãharapavē Rossana Bogado de Orue, ha Ñe'ēnguéra Rapereka Moakãhapavē Pyruhára Arnaldo Casco, ijaty ko árape Moakãhára pyahu Organización de Estados Iberoamericanos(OEI) Germán García Da Rosa Moure, ndive,oī avei Sãmbyhyhára Victor Aquino, ha mba'apoharakuéra Organización de Estados Iberoamericanospegua.
[NEW DOCUMENT 02/09/23 SP:10:15:a GN:10:18:a]	[NEW DOCUMENT 02/09/23 SP:10:15:a GN:10:18:a]
Ministra participa de foro nacional de artesanía.	Paraguái Ñe'ēnguéra Sãmbyhyhára oī kuri Foro Nacional de Artesanía-pe..
La ministra de la SPL, Ladislaa Alcaraz de Silvero participa del Gran Foro Nacional de Artesanía, en el salón del Instituto del Banco Central.	Paraguái Ñe'enguéra Sambyhyhára,Ladislaa Alcaráz de Silvero oī kuri Gran Foro Nacional de Artesania ojejapova'ekue Kotyvusu Instituto Banco Central del Paraguay-pe.
Ministra participa de foro nacional de artesanía.	Paraguái Ñe'ēnguéra Sãmbyhyhára oī kuri Foro Nacional de Artesanía-pe..
La ministra de la SPL, Ladislaa Alcaraz de Silvero participa del Gran Foro Nacional de Artesanía, en el salón del Instituto del Banco Central.	Paraguái Ñe'enguéra Sambyhyhára,Ladislaa Alcaráz de Silvero oī kuri Gran Foro Nacional de Artesania ojejapova'ekue Kotyvusu Instituto Banco Central del Paraguay-pe.
[NEW DOCUMENT 02/09/23 SP:08:32:a GN:08:52:a]	[NEW DOCUMENT 02/09/23 SP:08:32:a GN:08:52:a]
SPL participó en segunda reunión organizativa de CILPE 2023.	Paraguái Ñe’ēnguéra Sambyhyhára oĩ kuri aty oñembosako'ihápe CILPE 2023.
La ministra de la Secretaría de Políticas Lingüísticas participó de la reunión de la organización logística de la Conferencia Internacional de las Lenguas Portuguesa y Española CILPE a llevarse a cabo en la segunda quincena del mes de mayo.	Paraguái Ñe’ēnguéra Sambyhyhára oĩ kuri aty oñembosako'ihápe Conferencia Internacional de las Lenguas Portuguesa y Española CILPE 2023,oikótava ñane retãme ko ary jasypo pahápe.
SPL participó en segunda reunión organizativa de CILPE 2023.	Paraguái Ñe’ēnguéra Sambyhyhára oĩ kuri aty oñembosako'ihápe CILPE 2023.
La ministra de la Secretaría de Políticas Lingüísticas participó de la reunión de la organización logística de la Conferencia Internacional de las Lenguas Portuguesa y Española CILPE a llevarse a cabo en la segunda quincena del mes de mayo.	Paraguái Ñe’ēnguéra Sambyhyhára oĩ kuri aty oñembosako'ihápe Conferencia Internacional de las Lenguas Portuguesa y Española CILPE 2023,oikótava ñane retãme ko ary jasypo pahápe.
[NEW DOCUMENT 02/02/23 SP:10:11:a GN:11:02:a]	[NEW DOCUMENT 02/02/23 SP:10:11:a GN:11:02:a]
Ministra de la SPL participó en reunión para organizar la CILPE 2023.	Paraguái Ñe'ẽnguéra Sãmbyhyha oĩ kuri aty ypy CILPE 2023 ñembosako'ihápe..
La ministra de la Secretaría de Políticas Lingüísticas, Ladislaa Alcaraz de Silvero y la directora general Documentación y Promoción de Lenguas Indígenas (DGDPLI) Rossana Bogado de Orué, participaron vía ZOOM de la primera reunión de organización para la Conferencia Internacional de las Lenguas Portuguesa y Española CILPE, que se realizará en nuestro país el próximo mayo.	Paraguái Ñe´ẽnguéra Sãmbyhyhára Ladislaa Alcaráz de Silvero ha Moakãharapavẽ Ypykuéra Ñe’ẽ Ñeñongatu ha Ñemyasãi pegua Rossana Bogado de Orué, oĩ kuri Plataforma ZOOM rupive aty ypy oñembosako'ihápe Conferencia Internacional de las Lenguas Portuguesa y Española CILPE, oikótava ñane retãme jasypópe.
Ministra de la SPL participó en reunión para organizar la CILPE 2023.	Paraguái Ñe'ẽnguéra Sãmbyhyha oĩ kuri aty ypy CILPE 2023 ñembosako'ihápe..
La ministra de la Secretaría de Políticas Lingüísticas, Ladislaa Alcaraz de Silvero y la directora general Documentación y Promoción de Lenguas Indígenas (DGDPLI) Rossana Bogado de Orué, participaron vía ZOOM de la primera reunión de organización para la Conferencia Internacional de las Lenguas Portuguesa y Española CILPE, que se realizará en nuestro país el próximo mayo.	Paraguái Ñe´ẽnguéra Sãmbyhyhára Ladislaa Alcaráz de Silvero ha Moakãharapavẽ Ypykuéra Ñe’ẽ Ñeñongatu ha Ñemyasãi pegua Rossana Bogado de Orué, oĩ kuri Plataforma ZOOM rupive aty ypy oñembosako'ihápe Conferencia Internacional de las Lenguas Portuguesa y Española CILPE, oikótava ñane retãme jasypópe.
[NEW DOCUMENT 01/18/23 SP:07:50:a GN:08:02:a]	[NEW DOCUMENT 01/18/23 SP:07:50:a GN:08:02:a]
Presentan Código de Ética en Guaraní.	Ojehechauka TEKOPYKATU ÑE'ẼHAI ministerio público-pe.
La ministra de la Secretaria de Políticas Lingüísticas participó del acto de presentación del Código de Ética en las versiones guaraní y castellano.	Paraguay Ñe’ẽnguéra Sãmbyhyhára Ladislaa Alcaraz de Silvero oĩkuri aty -ojehechaukahápe TEKOPYKATU ÑE'ẼHAI.
Dicho acto fue presidido por la fiscal general del Estado Sandra Quiñónez Astigarraga y contó con la presencia de la embajadora de Paraguay ante la UNESCO, Nancy Ovelar de Gorostiaga.	Ko kuatia ojehai mokõive ñe’ẽme, guarani ha castellano-pe.
Presentan Código de Ética en Guaraní.	Ko aty omoakã Kuñakarai Sandra Quiñonez Astigarraga, Tetã Ñangarekoharapavẽ, oĩkuri avei Embajadora Tetã Paraguái rérape oĩva Unesco-pe, Nancy Ovelar de Gorostiaga.
La ministra de la Secretaria de Políticas Lingüísticas participó del acto de presentación del Código de Ética en las versiones guaraní y castellano.	Ojehechauka TEKOPYKATU ÑE'ẼHAI ministerio público-pe.
Dicho acto fue presidido por la fiscal general del Estado Sandra Quiñónez Astigarraga y contó con la presencia de la embajadora de Paraguay ante la UNESCO, Nancy Ovelar de Gorostiaga.	Paraguay Ñe’ẽnguéra Sãmbyhyhára Ladislaa Alcaraz de Silvero oĩkuri aty -ojehechaukahápe TEKOPYKATU ÑE'ẼHAI.
	Ko kuatia ojehai mokõive ñe’ẽme, guarani ha castellano-pe.
	Ko aty omoakã Kuñakarai Sandra Quiñonez Astigarraga, Tetã Ñangarekoharapavẽ, oĩkuri avei Embajadora Tetã Paraguái rérape oĩva Unesco-pe, Nancy Ovelar de Gorostiaga.
[NEW DOCUMENT 01/10/23 SP:11:03:a GN:11:08:a]	[NEW DOCUMENT 01/10/23 SP:11:03:a GN:11:08:a]
Responsables de un Proyecto Cultural en euskera Visitan la SPL.	Proyecto Cultural euskera pegua og̃uahẽ PÑS rógape.
En la mañana de hoy, la ministra de la Secretaría de Políticas Lingüísticas, Ladislaa Alcaraz de Silvero recibió en su despacho a Maialen López e Iñaki Goikoetxea, ambos miembros del proyecto cultural (HEMEN GAUDE EUSKALDUNON URRATSETAN) que lo llevan a cabo por Sudamérica por 7 meses aproximadamente.	Ko araapy pyharevépe, Paraguái Ñe’ẽnguéra Sãmbyhyhára (PÑS), Ladislaa Alcaraz de Silvero, rendápe og̃uahẽ Maialen López ha Iñaki Goikoetxea, mokõivéva ou oikuaaukávo sãmbyhyhárape arandupy apopyrã omoakãva (Hemen Gaude Euskaldunon Urratsetan), ogueroguatáva hikuái Sudamérica-pe 7 jasy pukukuérupi.
Responsables de un Proyecto Cultural en euskera Visitan la SPL.	Proyecto Cultural euskera pegua og̃uahẽ PÑS rógape.
En la mañana de hoy, la ministra de la Secretaría de Políticas Lingüísticas, Ladislaa Alcaraz de Silvero recibió en su despacho a Maialen López e Iñaki Goikoetxea, ambos miembros del proyecto cultural (HEMEN GAUDE EUSKALDUNON URRATSETAN) que lo llevan a cabo por Sudamérica por 7 meses aproximadamente.	Ko araapy pyharevépe, Paraguái Ñe’ẽnguéra Sãmbyhyhára (PÑS), Ladislaa Alcaraz de Silvero, rendápe og̃uahẽ Maialen López ha Iñaki Goikoetxea, mokõivéva ou oikuaaukávo sãmbyhyhárape arandupy apopyrã omoakãva (Hemen Gaude Euskaldunon Urratsetan), ogueroguatáva hikuái Sudamérica-pe 7 jasy pukukuérupi.
[NEW DOCUMENT 12/27/22 SP:11:12:a GN:11:32:a]	[NEW DOCUMENT 12/27/22 SP:11:12:a GN:11:32:a]
SPL y UNP firmaron convenio de cooperación.	Paraguái Ñe'ẽnguéra Sambyhyha ha Universidad Nacional de Pilar omboheraguapy ñoñe'ẽme'ẽ omba'apo joaju hag̃uã.
La Secretaría de Políticas Lingüísticas (SPL) firmó convenio con la Universidad Nacional de Pilar (UNP), dicho convenio se realiza en el marco de ayuda interinstitucional entre ambas instituciones SPL y UNP firmaron convenio de cooperación.	Paraguái Ñe'ẽnguéra Sambyhyha ha Universidad Nacional de Pilar oĩ peteĩ ñe'ẽme ojoajúvo omboguata hag̃uã tembiapoita ha apopyrãnguéra guarani ñe'ẽ jeporu ayvu ha jehaípe oñemomba'eguasu ojehecha ha ojeporumeme hag̃uã tetã ñe'ẽteeháicha, upéichante avei ojehapereka hag̃uã ñe'ẽnguéra ojeikuaave potávo opaite mba'e ñe'ẽita ,tekojoparaeta,tekotee ha tetã pokatupavẽ rehegua.
La Secretaría de Políticas Lingüísticas (SPL) firmó convenio con la Universidad Nacional de Pilar (UNP), dicho convenio se realiza en el marco de ayuda interinstitucional entre ambas instituciones	Paraguái Ñe'ẽnguéra Sambyhyha ha Universidad Nacional de Pilar omboheraguapy ñoñe'ẽme'ẽ omba'apo joaju hag̃uã.
	Paraguái Ñe'ẽnguéra Sambyhyha ha Universidad Nacional de Pilar oĩ peteĩ ñe'ẽme ojoajúvo omboguata hag̃uã tembiapoita ha apopyrãnguéra guarani ñe'ẽ jeporu ayvu ha jehaípe oñemomba'eguasu ojehecha ha ojeporumeme hag̃uã tetã ñe'ẽteeháicha, upéichante avei ojehapereka hag̃uã ñe'ẽnguéra ojeikuaave potávo opaite mba'e ñe'ẽita ,tekojoparaeta,tekotee ha tetã pokatupavẽ rehegua.
[NEW DOCUMENT 12/20/22 SP:10:15:a GN:10:07:a]	[NEW DOCUMENT 12/20/22 SP:10:15:a GN:10:07:a]
Ministra de la SPL presentó informe de gestión 2022.	Sãmbyhyhára oikuaauka PÑS rembiapokue 2022 arýpe guare.
Ministra de la SPL presentó informe de gestión 2022.	Sãmbyhyhára oikuaauka PÑS rembiapokue 2022 arýpe guare.
[NEW DOCUMENT 11/30/22 SP:02:11:p GN:01:42:p]	[NEW DOCUMENT 11/30/22 SP:02:11:p GN:01:42:p]
La Secretaría de Politicas Lingüísticas premió a 16 promotores de lenguas indigenas.	Paraguái Ñe'ẽnguéra Sambyhyha ombojopói 16 Ypykuéra ñe´ẽ rayhuhárape.
La Secretaría de Politicas Lingüísticas premió a los promotores de lenguas indigenas en un evento realizado en el Salón de Actos de la Secretaría Nacional de Deportes.	Paraguái Ñe'ẽnguéra Sambyhyha ombojopói Ypykuéra ñe´ẽ rayhuhárape.
	Upe jehechakuaa oiko kuri Salón de Actos Secretaría Nacional de Deportes-pegua.
[NEW DOCUMENT 10/11/22 SP:04:57:a GN:06:16:a]	[NEW DOCUMENT 10/11/22 SP:04:57:a GN:06:16:a]
Ministra realizó disertación en congreso departamental.	PÑS sambyhyhára omog̃uahẽ iñe’ẽrysýi Congreso Departamental de Idioma Guarani-pe.
La ministra de la Secretaría de Políticas Lingüísticas Ladislaa Alcaraz de Silvero fue una de las disertantes en el Primer Congreso Departamental de Idioma Guaraní denominado “Los desafíos de la Educación Paraguaya aplicados al Idioma Guaraní “.realizado el pasado sábado 8 de octubre de 2022.	Paraguái Ñe’ẽnguéra Sambyhyhára Ladislaa Alcaraz de Silvero, omog̃uahẽ iñe’ẽrysýi Primer Congreso Departamental de Idioma Guarani ojeheróva “Los desafíos de la Educación Paraguaya aplicados al Idioma Guaraní” oikova’ekue 8 jasypa 2022 táva Repatriación-pe.
El evento se desarrolló en el Tinglado Municipal de la Ciudad de Repatriación y contó con la presencia del Intendente de dicha localidad Dr. Carlos Godoy y concejales municipales.	Upe Amandajépe oĩ kuri Távao Motenondehára Dr.Carlos Godoy ha Concejal Municipalkuéra.
La organización estuvo a cargo del Ateneo de Lengua y Cultura Guarani y la Consultora Tekokatu.	
[NEW DOCUMENT 10/07/22 SP:05:03:a GN:05:11:a]	[NEW DOCUMENT 10/07/22 SP:05:03:a GN:05:11:a]
Municipalidad de Coronel Martinez y la SPL firmaron convenio de cooperación.	Coronel Martínez Tavao ha Paraguái Ñe’ẽnguéra Sambyhyha, oñoñe’ẽme’ẽ..
Con el objetivo de establecer relaciones para promover proyectos que apunten al fortalecimiento, la revalorización, la visualización y la normalización del uso oral y escrito de la lengua guaraní en el municipio de Coronel Martínez, la Secretaría de Políticas Lingüísticas (SPL) y la Municipalidad de Coronel Martinez firmaron este miércoles un convenio de cooperación interinstitucional.	Paraguái Ñe’ẽnguéra Sambyhyha ha tavao Coronel Martínez oñemoĩ petei ñe’ẽme ojoajúvo omboguata hag̃ua oñondive apopyrãnguéra oipytyvõtava guarani ñe’ẽ oñemomba’eguasu, ojehecha ha ojepurumeme hag̃ua ayvu ha jehaípe,tetã ñe’ẽ teeramo,upéicha avei ojehapereka hag̃ua ñe’ẽnguéra táva Coronel Martínez-pe.Mokõive temimoĩmby heko añete ikatu hag̃uáicha oñopytyvõ ha omba’apo oñondive.
[NEW DOCUMENT 09/29/22 SP:09:35:a GN:06:19:a]	[NEW DOCUMENT 09/29/22 SP:09:35:a GN:06:19:a]
El MEC y la SPL lanzan la versión del Himno Nacional en formato accesible..	MEC ha SPL omyasaī ypy Ñane retã purahéi guasu opavavévape ğuarã..
Con el objetivo de que las personas con discapacidad auditiva mantengan un sentido de pertenencia e identidad hacia las costumbres y tradiciones de nuestro país, el Ministerio de Educación y Ciencias (MEC) realizará el lanzamiento oficial de la versión actualizada del Himno Nacional Paraguayo en formato accesible.	Aty oikókuri Primera Escuela de Sordos-pe.
	Oî upépe MEC myakãhára Nicolás Zárate ha ministra Secretaría de Políticas Lingüísticas (SPL)-pegua Ladislaa Alcaraz de Silvero.
	Oî avei ambue mburuvichakuéra ñane retãmegua ha omotenondéva tembiapo nohendúiva apytépe.
[NEW DOCUMENT 09/27/22 SP:12:48:p GN:12:38:p]	[NEW DOCUMENT 09/27/22 SP:12:48:p GN:12:38:p]
Entregaron reconocimiento a promotores de lengua de señas en Paraguay..	Ojeguerohory Lengua de señas ñane retãmegua myasaīhárakuérape..
Con el fin de conmemorar la semana de las lenguas de señas, y revalorizar el gran aporte de referentes en favor de la misma se realizó el “Acto de conmemoración y entrega de reconocimiento a promotores de la lengua de señas en Paraguay, edición 2022”	Ojegueromandu'a hağua Lengua de señas arapokõindy ha ojehechakuaa hağua imyasãiharakuérape oiko kuri "Jeguerohory Lengua de señas ñane retãmegua myasaīharakuérape".2022 jey rehegua.
[NEW DOCUMENT 09/23/22 SP:09:44:a GN:09:47:a]	[NEW DOCUMENT 09/23/22 SP:09:44:a GN:09:47:a]
Declaran de interés nacional semana de personas sordas.	Tapicha ohendu’ỹva arapokõindy ojehecha porã tetãpýpe.
La Cámara de Senadores, en su sesión de ayer jueves, declaró de interés nacional la Semana Internacional de las Personas Sordas 2022, que comprende del 19 al 25 de setiembre, en coincidencia con el Día Internacional de las Lenguas de Señas, celebrado hoy viernes 23 de setiembre.	Cámara de Senadores, ijaty kuehe guarépe, omoneĩ de interés nacional-ramo Semana Internacional de las Personas Sordas 2022, ojepysóva 19 jasyporundy guive 25 peve, ojoajúvo avei Iñe’ẽngúva Ñe’ẽita Yvy Ape Arigua Ára, oñemomorãva ko arapoteĩme, 23 jasyporundýpe.
[NEW DOCUMENT 09/19/22 SP:11:34:a GN:11:38:a]	[NEW DOCUMENT 09/19/22 SP:11:34:a GN:11:38:a]
Funcionarios de la INC culminaron curso de guaraní.	INC mba’apoharakuéra omohu’ã mbo’esyry guaraníme.
Funcionarios de la Industria Nacional del Cemento (INC) que culminaron el Curso de Guaraní Comunicativo para Servidores Públicos recibieron este lunes sus correspondientes certificados, en una ceremonia que contó con la presencia de la ministra de la Secretaría de Políticas Lingüísticas (SPL), Ladislaa Alcaraz de Silvero, y el presidente de la INC, Ernesto Julián Benítez Petters.	Heta Industria Nacional del Cemento (INC) mba’apohára omohu’ãva’ekue Curso de Guaraní Comunicativo para Servidores Públicos péina ko arakõime ohupyty kuatia’atã, aty omoirũva’ekuépe Paraguái Ñe’ẽnguéra Sãmbyhyhára (PÑS), Ladislaa Alcaraz de Silvero, ha INC moakãhára, Ernesto Julián Benítez Petters.
[NEW DOCUMENT 09/19/22 SP:10:19:a GN:10:21:a]	[NEW DOCUMENT 09/19/22 SP:10:19:a GN:10:21:a]
SPL e INC firmaron convenio de cooperación.	PÑS ha INC omboheraguapy ñoñe’ẽme’ẽ.
Este lunes se concretó la firma de convenio marco de cooperación entre la Secretaría de Políticas Lingüísticas (SPL) y la Industria Nacional del Cemento (INC) a fin de seguir trabajando de manera conjunta en proyectos relacionados con el fortalecimiento del uso oficial -oral y escrito- de la lengua guaraní, así como la documentación y promoción de las lenguas indígenas.	Ko arakõime, Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS) ha Industria Nacional del Cemento (INC) omboheraguapy ñoñe’ẽme’ẽ omba’apo joajuve hag̃ua heta apopyrãme omombaretévo guarani ñe’ẽ -ayvu ha ijehaípe- ñe’ẽ teeháicha, ha avei ypykuéra ñe’ẽita ñeñongatu ha ñemoasãime.
[NEW DOCUMENT 09/19/22 SP:07:16:a GN:07:23:a]	[NEW DOCUMENT 09/19/22 SP:07:16:a GN:07:23:a]
Recaban datos sociolingüísticos del pueblo Mbya.	Oñemono’õ marandu Mbya ñe’ẽ reko rehegua.
